D & B Used Cars|111 Old Benbrook Rd|817-555-5555
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
55678|2015|Toyota|Camry|Sedan|Blue|123456|12995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
33445|2022|Chevrolet|Malibu|Sedan|White|14532|21495.0
77890|2023|Nissan|Altima|Sedan|Black|8300|23995.0
99223|2022|Jeep|Cherokee|SUV|Green|19876|26450.0
11223|2021|Hyundai|Elantra|Sedan|Silver|40124|14995.0
66778|2021|Subaru|Outback|Wagon|Blue|50220|19995.0
99001|2024|Tesla|Model 3|Sedan|Red|5234|39999.0
24567|2020|Kia|Soul|Crossover|Orange|68221|12995.0
31415|2020|BMW|X3|SUV|White|78400|20495.0
42424|2019|Volkswagen|Jetta|Sedan|Gray|90432|8495.0
85858|2018|Mazda|CX-7|SUV|Maroon|105210|6495.0
